company_name,number_of_investments,number_of_exits,location,investor_type,description,company_url,domain,Unnamed: 8,facebook,instagram,linkedin,twitter,Unnamed: 13,contact_email,phone_number,industries,program,country,Unnamed: 19
Firstminute Capital,49.0,1.0,"London, England, United Kingdom",Micro VC,"An early-stage venture fund based in London, investing globally. Backed by 30 unicorn founders and global strategics.",https://firstminute.capital/,firstminute.capital,,,,https://www.linkedin.com/company/firstminutecap/,https://twitter.com/firstminutecap,,team@firstminute.capital,+44 (0)20 3905 5854,"Finance, Financial Services, Venture Capital",,United Kingdom,
Generation Investment Management,48.0,11.0,"London, England, United Kingdom",Private Equity Firm,Generation Investment Management is a private equity firm focused on integrated sustainability research and client alignment.,http://www.generationim.com,generationim.com,,,,https://www.linkedin.com/company/generation-investment-management/,,,genfound@generationim.com,+44 (0) 207 534 4700,"Finance, Financial Services, FinTech, Social, Sustainability, Venture Capital",,United Kingdom,
Calculus Capital,48.0,8.0,"London, England, United Kingdom",Private Equity Firm,Calculus Capital creates and manages tax efficient private equity funds for individuals.,https://www.calculuscapital.com/,calculuscapital.com,,,,https://www.linkedin.com/company/3079586,https://twitter.com/calculuscapital,,info@calculuscapital.com,2074934940,"Finance, Financial Services, Venture Capital",,United Kingdom,
Virgin Group,46.0,9.0,"London, England, United Kingdom",Private Equity Firm,"Virgin Group is an investment company focused on leisure, travel, tourism, mobile, broadband, TV, radio, music, finance, and health sectors.",https://www.virgin.com/about-virgin/virgin-group,virgin.com,,https://www.facebook.com/virgin,https://instagram.com/virgin,https://www.linkedin.com/company/virgin,https://twitter.com/virgin,,contactus@virgin.com,449892015729,"Financial Services, Venture Capital",,United Kingdom,
Imperial Create Lab,46.0,3.0,"London, England, United Kingdom","Incubator, University Program","Imperial Create Lab brings together the innovators, makers and game-changers to hack, learn and build things that matter.",https://www.imperialcollegeunion.org/activities/imperial-create-lab,imperialcollegeunion.org,,,,,,,hello@imperialcreatelab.com,,"Communities, Incubators, Innovation Management",,United Kingdom,
BOOST&Co,43.0,7.0,"London, England, United Kingdom",Venture Debt,BOOST&Co provides debt solutions to innovative SMEs in Europe.,https://boostandco.com/,boostandco.com,,https://www.facebook.com/BOOSTandco,,https://www.linkedin.com/company/boost&co,https://twitter.com/boostandco,,info@boostandco.com,+44 207 651 49 34,"Finance, Financial Services, Venture Capital",,United Kingdom,
Zouk Capital,40.0,13.0,"London, England, United Kingdom",Private Equity Firm,Zouk Capital is an independent London-based private equity fund manager investing in companies that advance resource efficiency.,https://www.zouk.com/,zouk.com,,,,https://www.linkedin.com/company/zouk-capital,,,info@zouk.com,+44 20 7947 3400,"Finance, Financial Services, Venture Capital",,United Kingdom,
Hg,40.0,19.0,"London, England, United Kingdom",Private Equity Firm,"Hg aim is to partner with great businesses across the technology and, services space.",http://www.hgcapital.com,hgcapital.com,,,,https://www.linkedin.com/company/hgcapital/,,,info@hgcapital.com,+44 (0)20 7089 7888,"Finance, Financial Services, Venture Capital",,United Kingdom,
GSMA Ecosystem Accelerator,36.0,,"London, England, United Kingdom",Entrepreneurship Program,GSMA Ecosystem Accelerator builds synergies between start-ups and mobile operators to scale mobile services in emerging markets.,https://www.gsma.com/mobilefordevelopment/ecosystem-accelerator/,gsma.com,,,,https://www.linkedin.com/groups/4476906/profile,https://twitter.com/GSMAm4d,,info@gsma.com,,"Information Services, Innovation Management, Mobile",,United Kingdom,
Janus Henderson Investors,34.0,21.0,"London, England, United Kingdom",Private Equity Firm,Janus Henderson Investors is an asset manager that helps clients achieve their financial goals.,https://www.janushenderson.com/en/row/documents/,janushenderson.com,,,,https://www.linkedin.com/company/janus-henderson-us,,,support@janushenderson.com,+44 (0)20 7818 1818,"Asset Management, Finance, Financial Services",,United Kingdom,
Nesta Impact Investments,32.0,2.0,"London, England, United Kingdom",Micro VC,"Nesta Impact Investments are investing in start-up and early stage technology, education and media companies.",https://nestainvestments.org.uk,nestainvestments.org.uk,,,,https://www.linkedin.com/company/nesta-investment-management-llp,https://twitter.com/nestaimpact,,impactinvesting@nesta.org.uk,,"Finance, Financial Services",,United Kingdom,
Helios Investment Partners,31.0,7.0,"London, England, United Kingdom",Private Equity Firm,Helios Investment Partners LLP is a private equity and venture capital firm.,http://heliosinvestment.com,heliosinvestment.com,,,,https://www.linkedin.com/company/helios-investment-partners,,,info@heliosllp.com,+44 207 484-7700,"Finance, Financial Services, Venture Capital",,United Kingdom,
Alpina Partners,31.0,5.0,"London, England, United Kingdom",Private Equity Firm,Alpina Partners is an independent private equity firm which invests in European technology companies.,http://www.alpinapartners.com/,alpinapartners.com,,,,https://www.linkedin.com/company/alpina-partners,,,info@alpinapartners.com,+44 (0) 20 37619680,"Finance, Financial Services, Venture Capital",,United Kingdom,
50 Partners,48.0,2.0,"Paris, Ile-de-France, France",Accelerator,"50 Partners is a French accelerator providing IT startups with mentoring, financing, and office space in central Paris.",http://www.50partners.fr,50partners.fr,,,,http://www.linkedin.com/company/5024472,,,contact@50partners.fr,,"Finance, Incubators, Venture Capital",,France,
Societe Generale Asset Management,46.0,19.0,"Paris, Ile-de-France, France","Investment Bank, Private Equity Firm","Societe Generale Asset Management, a French multinational banking and financial services firm, offers investment solutions for its clients.",https://www.like-follower.com/acheter-des-followers-twitter-achat-follower-avec-paypal.php,sgam-ai.com,,,,https://www.linkedin.com/company/societe-generale-asset-management/about/,,,hedgefunds@sgam.com,,Financial Services,,France,
BOOST Programs,46.0,4.0,"Paris, Ile-de-France, France",Accelerator,Acceleration program for business focused startups.,https://boost.atelier.bnpparibas,boost.atelier.bnpparibas,,,,,,,boost-programs@mail.atelier.net,,,,France,
KREAXI,43.0,7.0,"Limonest, Rhone-Alpes, France",Micro VC,KREAXI is a financial partner for companies starting in Rhone-Alpes which helps to overcome capital investment shortcomings.,http://www.kreaxi.com,kreaxi.com,,,,https://www.linkedin.com/company/kreaxi/?viewAsMember=true,,,contact@kreaxi.com,+33 4 72 52 39 39,Venture Capital,,France,
Amundi Private Equity Funds,40.0,12.0,"Paris, Ile-de-France, France",Private Equity Firm,"Amundi Private Equity Funds, an Amundi asset management subsidiary, specialises in private equity and unlisted infrastructure investments.",http://www.amundi.com,amundi.com,,,,http://www.linkedin.com/company/732914,,,contact-pef@amundi.com,,"Finance, Financial Services, Venture Capital",,France,
Truffle Capital,38.0,15.0,"Paris, Ile-de-France, France",Private Equity Firm,Truffle Capital is an independent European private equity firm originally set up for investing in technology spin-offs.,https://www.truffle.com/,truffle.com,,https://fr-fr.facebook.com/trufflecapital/,,https://www.linkedin.com/company/truffle-capital,https://twitter.com/trufflecapital,,contact@truffle.com,+33 1 82 28 46 00,"Finance, Financial Services, Venture Capital",,France,
eFounders,36.0,5.0,"Paris, Ile-de-France, France",Incubator,We build the future of work,https://www.efounders.com/,efounders.com,,,,https://www.linkedin.com/company/efounders/,,,contact@efounders.co,,"B2B, Enterprise Software, SaaS",,France,
IDIA Capital Investissement,32.0,5.0,"Paris, Ile-de-France, France",Private Equity Firm,IDIA Capital Investissement is a private equity arm of Cr√©dit Agricole Capital Investissement.,https://www.tiredeets.com/,tiredeets.com,,,,https://www.linkedin.com/company/idia-capital-investissement,,,contact@ca-idia.com,+33 (0)1 43 23 24 24,Venture Capital,,France,
Krinova,,,"Kristianstad, Skane Lan, Sweden",Incubator,"Krinova, an incubator and science park, offers meeting spaces, arranges tailor-made conferences, and promotes innovations and development.",https://www.krinova.se/,krinova.se,,https://www.facebook.com/Krinova,https://www.instagram.com/krinova_park/,https://me.linkedin.com/company/krinova-science-park,,,info@krinova.se,,Incubators,,Sweden,
Mimir Capital,,,"Stockholm, Stockholms Lan, Sweden",Private Equity Firm,Mimir Capital is a private investment firm providing customized solutions,http://mimirinvest.com/,mimirinvest.com,,,,https://www.linkedin.com/company/mimir-capital,,,contact@mimirinvest.com,,Angel Investment,,Sweden,
Chi Impact Capital,,,"Zurich, Zurich, Switzerland",Venture Capital,Chi Impact Capital is a fully independent and dedicated Swiss based impact investment management firm.,http://chi-impact.com/,chi-impact.com,,,,https://www.linkedin.com/company/chi-impact-capital,,,info@chi-impact.com,,"Impact Investing, Venture Capital",,Switzerland,
Aktieinvest,,,"Stockholm, Stockholms Lan, Sweden",Fund Of Funds,"Aktieinvest is a provider of investment savings account, children saving account, and other investment schemes.",https://www.aktieinvest.se/,aktieinvest.se,,,,,,,kundservice@aktieinvest.se,,,,Sweden,
swissminds AG,,,"D√Љdingen, Fribourg, Switzerland",Venture Capital,"Swissminds specializes in high-tech startups not only with capital, but also with hands-on consultation and experience from entrepreneurs.",https://www.swissminds.com,swissminds.com,,,,https://www.linkedin.com/company-beta/3259334/,,,info@swissminds.com,41844988988,"Advice, Business Development, Enterprise, Finance, Management Consulting, Venture Capital",,Switzerland,
Transferator,,,"Stockholm, Stockholms Lan, Sweden",Private Equity Firm,"Transferator AB is private equity firm which seeks to acquire minority stakes in promising growth companies, private as well as listed.",http://www.transferator.se,transferator.se,,,,,,,info@transferator.com,,,,Sweden,
Erik Penser Bankaktiebolag,,,"Stockholm, Stockholms Lan, Sweden",Investment Bank,"Erik Penser BankaktiebolagвАЩs mission is to create value for our clients. Our services include investment management services, equity",http://www.penser.se,penser.se,,,,https://www.linkedin.com/company/erik-penser-bankaktiebolag,,,eid-login@cgi.com,,,,Sweden,
Venture Cup,,,"Stockholm, Stockholms Lan, Sweden",Startup Competition,Venture Cup is the largest competition for those looking to develop their business idea and start a business.,http://www.venturecup.se/en/home/,venturecup.se,,https://www.facebook.com/VentureCupSweden,https://www.instagram.com/venturecupsverige/,http://www.linkedin.com/company/venture-cup-sverige,,,info@venturecup.se,,Non Profit,,Sweden,
Framtidens F√ґretag,,,"Gothenburg, Vastra Gotaland, Sweden",Incubator,Framtidens F√ґretag(Future Enterprises) is a business incubator.,https://framtidensforetag.se/,framtidensforetag.se,,,,https://www.linkedin.com/company/633875,,,info@framtidensforetag.se,-136896,,,Sweden,
Mannerheim Invest,,,"Stockholm, Stockholms Lan, Sweden",Private Equity Firm,Mannerheim Invest focuses on energy technologies and services plus a non-branch specific portfolio of venture capital investments.,http://www.mannerheim.se,mannerheim.se,,,,,,,invest@mannerheim.se,,,,Sweden,
Connecting Capital,,,"Stockholm, Stockholms Lan, Sweden",Private Equity Firm,Connecting Capital is an investment company that conducts operations in the form of a limited liability company.,http://www.connectingcapital.se,connectingcapital.se,,,,,,,contact@connectingcapital.se,+ 46 (0) 8 679 66 10,,,Sweden,
Bernegger Ventures,,,"Zurich, Zurich, Switzerland","Micro VC, Venture Capital","Bernegger Ventures is a venture capital firm specializing in incubation, seed/startup, emerging growth, and growth capital investments.",http://www.bernegger-ventures.com/de/,bernegger-ventures.com,,https://www.facebook.com/marcpbernegger,,https://www.linkedin.com/in/marcpbernegger,https://twitter.com/marcpbernegger,,marc@bernegger.com,,Venture Capital,,Switzerland,
VIG Startup Studio,,,"Zurich, Zurich, Switzerland","Angel Group, Venture Capital",VIG is a Pan-African start-up studio that builds innovative ventures.,https://www.vigventures.com/,vigventures.com,,,,https://www.linkedin.com/company/vigventures,,,info@vigventures.com,,,,Switzerland,
SHIFT Camp,,,"Stockholm, Stockholms Lan, Sweden",Accelerator,Shift is a unique accelerator which is built around a mentoring program for businesses working towards progressive systemic change.,https://www.stockholmresilience.org/,shifts.se,,https://www.facebook.com/stockholmresilience/,https://www.instagram.com/sthlmresilience,,https://twitter.com/sthlmresilience,,info@stockholmresilience.su.se,202100-3062,,,Sweden,
hiCenter Ventures,3.0,,"Haifa, Hefa, Israel",Accelerator,A technology and business accelerator dedicated to value creation by partnering with talented entrepreneurs with proven innovations.,https://hicenter.co.il/,hicenter.co.il,,https://www.facebook.com/hiCenter,,https://www.linkedin.com/company-beta/2530279/,,,office@hicenter.co.il,+972.73.222.3900,"Business Development, Hedge Funds, Information Technology",,,Israel
TargeTech,3.0,,"Netanya, HaMerkaz, Israel",Incubator,TargeTech is an incubator and a venture capital firm.,http://www.targetech.co.il,targetech.co.il,,,,,,,info@targetech.co.il,,"Business Development, Enterprise Software, Information Technology",,,Israel
